co_seq_unidade_saude,co_seq_distrito,co_seq_tp_logradouro,co_seq_municipio,no_unidade_saude,co_ref_unidade,nu_cnes,no_logradouro,nu_logradouro,cmp_nr_logradouro,no_bairro,nu_cep,nu_telefone,nu_fax,ds_email,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro,nu_telefone_auxiliar
809,,0,520,U.B.S. MARIA ALVES SANTIAGO,01226-01,,POV. LEANDRO,00,,Z. RURAL,65964000,(99)984051358,(  ),,20190619083636,hiago,20190619083636,hiago,(99)984051358
810,,54,520,U.B.S. ELI ALVES CAVALCANTES,01227-01,,POV. BURITI,00,,Z. RURAL,56964000,(99)984171238,(  ),,20190619084004,hiago,20190619084004,hiago,(  )
811,,36,469,U.B.S. WILSON CURVINA,01228-01,,AV. JOÃO PESSOA,S/N,,CENTRO,65708000,(99)982477349,(  ),,20190619084907,hiago,20190619084907,hiago,(  )
232,,113,600,HOSP. SANTO ANTONIO,00469-01,2307049,ESPEDITO SILVINO ALVES,S/N,,CENTRO,65140000,(98)984933010,(  ),,20190619095331,carliane,20170908095401,Implantação,(  )
816,,0,501,U.B.S BUENOS AIRES,01233-01,,POV. BUENOS AIRES,00,,Z. RURAL,65600000,(  ),(  ),,20190722115226,hiago,20190722115226,hiago,(  )
817,,0,501,U.B.S BAU ,01234-01,,POV. BAU,,,Z. RURAL,65600000,(  ),(  ),,20190722115320,hiago,20190722115320,hiago,(  )
818,,0,501,U.B.S CABECEIRA DOS CAVALOS,01235-01,,POV. CABECEIRA DOS CAVALOS,,,Z. RURAL,65600000,(  ),(  ),,20190722115617,hiago,20190722115617,hiago,(  )
819,,0,501,U.B.S  CHAPADA,01236-01,,POV. CHAPADA,,03 DISTRITO,Z. RURAL,65600000,(  ),(  ),,20190722115706,hiago,20190722115706,hiago,(  )
820,,54,501,U.B.S CRISTINO CRUZ,01237-01,,POV. ENGENHO DAGUA 02 DISTRITO,,,Z. RURAL,65600000,(  ),(  ),,20190722115947,hiago,20190722115947,hiago,(  )
821,,54,501,U.B.S NAZARÉ DO BRUNO,01238-01,,POV. NAZARE DO BRUNO,,,,65600000,(  ),(  ),,20190722120115,hiago,20190722120115,hiago,(  )
822,,54,501,U.B.S RODAGEM,01239-01,,POV. RODAGEM,,02 DISTRITO,Z. RURAL,65600000,(  ),(  ),,20190722120219,hiago,20190722120219,hiago,(  )
823,,54,501,U.B.S SANTA RITA ,01240-01,,POV. SANTA RITA ,00,,Z. RURAL,65600000,(  ),(  ),,20190722120303,hiago,20190722120303,hiago,(  )
824,,54,501,U.B.S SANTO ANTONIO,01241-01,,POV. SANTO ANTONIO,00,,Z. RURAL,65600000,(  ),(  ),,20190722120402,hiago,20190722120402,hiago,(  )
825,,113,635,U.B.S. CINTRA,01242-01,,São Jorge,S/N,,Anil,65046820,(98)85469984,(  ),,20190910071920,hiago,20190910071920,hiago,(98)984842913
826,,54,537,U.B.S. SAO MARCOS,01243-01,,TRAV. SAO JOSE,00,,VILA SAO MARCOS,65345000,(  ),(  ),,20190910073117,hiago,20190910073117,hiago,(  )
827,,54,537,U.B.S. CONCEICAO GOMES DE ALMEIDA,01244-01,,POV. VILA DIAMENTE,00,,Z. RURAL,65345000,(  ),(  ),,20190910073252,hiago,20190910073252,hiago,(  )
828,,54,537,U.B.S. SAO VICENTE,01245-01,,POV. SAO VICENTE,,,Z. RURAL,65345000,(  ),(  ),,20190910073523,hiago,20190910073523,hiago,(  )
829,,54,537,U.B.S. MARIA GALDINO,01246-01,,R. DO COMERCIO ,00,,CENTRO,65345000,(  ),(  ),,20190910073624,hiago,20190910073624,hiago,(  )
831,,113,637,U.B.S. ANTONIO FRANCISCO DA COSTA VAGE,01248-01,,R.VOLTA REDONDA,00,,SAO JOSE,65470000,(99)981374510,(  ),,20191203070016,hiago,20191118103934,hiago,(99)982513258
832,,113,637,U.B.S. FRANCISCO TORRES DE PAULA FILHO,01249-01,,AV. PIQUI,00,,PIQUI,65470000,(99)981358734,(  ),,20191203070031,hiago,20191118104202,hiago,(99)981348102
834,,36,637,U.B.S. AIRTON SENA,01251-01,,AV. AITON SENA,,,AIRTON SENA,65470000,(99)982444039,(  ),,20191203070100,hiago,20191118104645,hiago,(99)982757101
835,,113,663,U.B.S. RAIMUNDA DA CONCEICAO,01252-01,,R. DO CAMPO ,00,,CENTRO,65470000,(99)984210948,(  ),IVANCASTRO23@HOTMAIL.COM,20191203070555,hiago,20191203070555,hiago,(99)981325018
841,,113,469,U.B.S. SANTOS DUMMONT,01258-01,,R. 07,00,,SANTOS DUMMONT,65700000,(98)981820635,(99)981166548,,20200213072104,hiago,20200213072104,hiago,(99)981113379
844,,113,469,U.B.S. BREJINHO,01261-01,,R. CARLOS SARDINHA,18,,POV. BREJINHO,65700000,(  ),(  ),,20200213072819,hiago,20200213072819,hiago,(  )
845,,36,469,U.B.S. VILA COELHO DIAS,01262-01,,EST. BELA VISTA ,00,,CENTRO,65700000,(  ),(  ),,20200213073025,hiago,20200213073025,hiago,(  )
842,,113,469,U.B.S. TRIZIDELA,01259-01,,R. CAPITAO JOSE ANTNIO ,32,,TRIZIDELA,65700000,(99)982210630,(  ),,20200213073128,hiago,20200213072340,hiago,(99)981298227
843,,36,469,U.B.S. BELA VISTA,01260-01,,AV. LEONTINO PEREIRA ,00,,POV. BELA VISTA ,65700000,(99)982210630,(  ),,20200213073227,hiago,20200213072522,hiago,(99)981298227
846,,113,501,U.B.S VILA PARAISO,01263-01,,"R.C, RESD. PARAISO",00,,Centro,65600100,(99)996465689,(  ),,20200320122241,hiago,20200320122241,hiago,(  )
847,,113,635,U.B.S. VILA LOBAO,01264-01,,EST. DA VITORIA,08,,SANTO ANTONIO,65000000,(98)988014228,(98)999687732,,20200529082430,hiago,20200529082430,hiago,(98)982870447
169,,113,555,U.B.S DrºPAULO BORGEA,00025-01,2459841,NEWTON BELO,9414,,CENTRO,65728000,(  ),(  ),,20200717091046,carliane,20170908095401,Implantação,(  )
55,,113,490,C.S. RUBETINA MACEDO(CENTRO),00338-01,5373247,NIVEL MEDIO,S/N,,CENTRO,65393000,(  ),(  ),,20210523090356,yago,20170908095401,Implantação,(  )
839,,36,627,U.B.S. LEOPOLDO JOSÉ DE OLIVEIRA ,01256-01,,GOVERNADOR LUIS ROCHA ,00,,CENTRO,65650000,(86)991741173,(  ),ANASTACIANUNES@HOTMAIL.COM,20220428084016,yago,20200113121938,carliane,(  )
840,,54,627,U.B.S. MIMOSO,01257-01,,POV. MIMOSO ,00,,Z.RURAL,65650000,(86)999351388,(  ),ANASTACIANUNES@HOTMAIL.COM,20220428084035,yago,20200113122232,carliane,(  )
830,,36,456,U.B.S. MARIA BEATRIZ DA CONCEICAO,01247-01,,AV. RODOVIARIA,00,,CENTRO,65413000,(  ),(  ),,20220805101656,yago,20191001070815,hiago,(  )
813,,54,567,U.B.S. VILA CABRAL,01230-01,,R. POMPILIO FONSECA DE AMORIM,00,,CENTRO,65850000,(  ),(  ),,20220721083652,yago,20190627123246,hiago,(  )
814,,36,567,U.B.S. MAURICIO CABRAL ,01231-01,,CENTRAL,00,,MURICOCA,65850000,(  ),(  ),,20220721083710,yago,20190627123444,hiago,(  )
815,,54,567,U.B.S. DOS COCOS,01232-01,,POV. COCOS,00,,Z. RURAL,65850000,(  ),(  ),,20220721083725,yago,20190627123637,hiago,(  )
812,,54,567,U.B.S. CONCEICAO,01229-01,,POV. CONCEICAO,00,,Z. RURAL,65850000,(  ),(  ),,20220721083755,yago,20190627122902,hiago,(  )
836,,113,663,U.B.S. BIDA CUNHA,01253-01,,R. DO COMERCIO ,00,,CENTRO,65470000,(99)981550865,(  ),LEUDESOUSABEZERRA@GMAIL.COM,20230131081610,thalyta,20191203070859,hiago,(  )
837,,113,663,U.B.S. RAULINO SOUSA LIMA,01254-01,,R. PEDRO LOPES,00,,CENTRO,65470000,(99)981462222,(  ),JUSCELIAMOURA12@GMAIL.COM,20230131081701,thalyta,20191203071135,hiago,(99)981665565
838,,113,663,U.B.S. FRANCISCO MARTINS FERREIRA,01255-01,,R. RIBEIRO DA SILVA,00,,CENTRO,65470000,(99)984760447,(  ),SEMUSVILANOVA.SAUDE@GMAIL.COM,20230131081743,thalyta,20191203071451,hiago,(99)984826091
833,,54,637,U.B.S. ANTONIO SILVA COELHO NEVES,01250-01,,POV. BARRO PRETO,00,,Z.RURAL,65470000,(99)992176778,(  ),ESFTIMBAUBA@GMAIL.COM,20231106075235,thalyta,20191118104514,hiago,(  )
231,,113,599,HOSP.MUNC.DR.E.ABATH,00373-01,2455145,ALDIR GOMES,S/N,,CENTRO,     ,(  ),(  ),,20210118093601,thalyta,20170908095401,Implantação,(  )
852,,36,476,HOSP. REG. DE BARREIRINHAS,01269-01,,LOTEAMENTO PQ DAS DUNAS,15,,CID. NOVA,65590000,(98)991454537,(98)985310747,HGBARREIRINHAS@GMAIL.COM,20210204074430,yago,20210204074430,yago,(98)998835826
302,,113,635,MAT. N. S. DA PENHA,00536-01,2697688,DINAMARCA QD 39,S/N,,ANJO DA GUARDA,65085808,(98)987814813,(98)988207070,MATERNIDADENSDAPENHA@GMAIL.COM,20210204080433,yago,20170908095401,Implantação,(98)991371158
633,,0,510,MAT. HUMBERTO COUTINHO,01050-01,,BR 135,00,,CHAPADINHA,65690000,(99)981425327,(99)35520313,DIRECAOMATERNIDADECOLINAS@GMAIL.COM,20210204080616,yago,20190314075050,hiago,(99)981661723
855,,113,544,HOSP. MUN. Mª VIEIRA DE OLIVEIRA,01272-01,,MA 328,00,,CENTRO ,65962000,(99)984643947,(  ),ERICAROCHA3000@HOTMAIL.COM,20210205092456,yago,20210205092456,yago,(  )
856,,113,572,HOSP. REG. DE MORROS,01273-01,,PRINCIPAL,00,,COELHO,65160000,(98)987556759,(  ),DIRETORIAHRM@GMAIL.COM,20210205120143,yago,20210205120143,yago,(98)985033200
857,,36,466,HOSP. MUN. DE ARAME,01274-01,,AV. RIO BRANCO,00,,CENTRO,65945000,(99)991974624,(  ),CLEUDIVAN1AMORIM@GMAIL.COM,20210209115504,yago,20210209115504,yago,(  )
858,,5,620,U.B.S. MARIA TEIXEIRA ,01275-01,,POV. SAO JOSE DOS COSTAS,00,,Z. RURAL,65440000,(98)987690057,(  ),NAYLLAMENESESOFICIAL97@GMAIL.COM,20210212091857,yago,20210212091749,yago,(98)984421711
859,,5,620,U.B.S. RAIMUNDO LIMA ,01276-01,,R. PRINCIPAL,00,,CENTRO ,65440000,(98)988465835,(  ),NEIDINHA_1325@HOMTMAIL.COM ,20210212092108,yago,20210212092108,yago,(  )
860,,5,620,U.B.S. GUABIRABAL,01277-01,,POV. GUABIRABAL,00,,Z. RURAL,65440000,(00)985431365,(  ),,20210212092450,yago,20210212092450,yago,(  )
862,,5,620,U.B.S. AUGUSTO PEREIRA (HUMAITA),01279-01,,R. JOAO ROCHA ,00,,CENTRO ,65440000,(98)985895252,(  ),WILLYVANIA01@GMAIL.COM,20210212092959,yago,20210212092959,yago,(  )
848,,36,541,U.B.S. MARIA JOSE DAS NEVES O. MARTINS,01265-01,,BR 222,00,RESP. AMANDA S MUNIZ,TRIZIDELA,65485000,(98)99667355,(  ),AMANDAROBERTA_11@HOTMAIL.COM,20221011090742,yago,20201118114002,carliane,(  )
863,,36,557,U.B.S. ODORICO MENDES,01280-01,,AV. PRINCIPAL,00,,CENTRO,65290000,(98)984756125,(98)985288281,,20210212093628,yago,20210212093628,yago,(98)994603231
861,,36,620,U.B.S. BERNADO MONTELES ,01278-01,,AV. BRASIL. ,00,,SAP PAULO,65440000,(00)987089432,(  ),PATRICIAMEDEIROS.SOUSA@HOTMAIL.COM ,20210212093746,yago,20210212092740,yago,(  )
864,,36,557,U.B.S. MANAUS,01281-01,,AV. PRINCIPAL,00,CENTRO ,CENTRO,65290000,(98)984756125,(98)985288281,MARIZETEFERREIRA176@GMAIL.COM,20210212094116,yago,20210212094116,yago,(98)984889402
866,,5,585,U.B.S. SAO JOSE,01283-01,,POV. SAO JOSE,00,,Z. RURAL,65585000,(00)988575300,(  ),KAROLINAFARIASGOMES@GMAIL.COM,20210225114142,yago,20210225114142,yago,(00)985855811
867,,36,585,U.B.S. SANTA TEREZINHA,01284-01,,AV. DEMETRIO RIBEIRO,00,,MA 315,65585000,(98)989147965,(  ),THMARA_PEDROSA25@HOTMAIL.COM,20210225114513,yago,20210225114412,yago,(  )
869,,5,585,U.B.S. SAO FRANCISCO,01286-01,,POV. SAO FRANCISCO,00,,Z. RURAL,65585000,(86)994432990,(  ),VILA18.ENF@HOTMAIL.COM,20210225115017,yago,20210225115017,yago,(  )
871,,5,652,HOSP. REG. DE TIMBIRAS,01288-01,,R. DA MANGUEIRA,00,,ANJO DA GUARDA,65420000,(99)981399791,(99)981468873,HGT_ADM@OUTLOOK.COM,20210302110008,yago,20210302105927,yago,(99)991379152
872,,113,643,HOSP. MUN. AGOSTINHO DOS SANTOS JACINTO,01289-01,,R. GETULIO VARGAS,00,,CENTRO,65220000,(  ),(  ),,20210409084058,yago,20210409084016,yago,(  )
875,,36,550,U.B.S. DR. FRANCISCO ALMEIDA,01292-01,,AV. VEREADOR OSMAR RODRIGUES,00,,CENTRO,65705000,(  ),(  ),,20210412080936,yago,20210412080936,yago,(  )
873,,113,450,U.B.S DR.SALOMAO FIQUENE,01290-01,,R. PRINCIPAL ,00,,CENTRO,65930000,(  ),(  ),,20210412081207,yago,20210412080250,yago,(  )
876,,54,501,U.B.S. DR JOSE DE ASSUNCAO BRANDAO ,01293-01,,POV. BREJINHO,00,,Z. RURAL,65609899,(  ),(  ),,20210412081530,yago,20210412081530,yago,(  )
877,,54,509,U.B.S. SANTA MARIA ,01294-01,,POV.SANTA MARIA,00,,Z. RURAL,65620000,(  ),(  ),,20210412082122,yago,20210412082122,yago,(  )
878,,54,509,U.B.S. BONFIM ,01295-01,,POV. BONFIM,00,,Z. RURAL,65620000,(  ),(  ),,20210412082343,yago,20210412082343,yago,(  )
854,,11,557,U.B.S. PRAIA BOA VISTA,01271-01,,MARECHAL CASTELO BRANCO ,00,,PRIMAVERA ,65290000,(98)985288281,(98)998582595,MARIZETEFERREIRA176@GMAIL.COM,20221010095132,yago,20210205092019,yago,(98)984756125
140,,113,539,DEP. DE ATENÇÃO BASICA,00130-01,6363024,GETULIO VARGAS ,1813,,CENTRO,     ,(  ),(  ),,20210610071810,yago,20170908095401,Implantação,(  )
87,,113,509,U.B.S. JOAO PAULO II,00652-01,5547334,UM,S/N,,JOSE SARNEY,65620000,(  ),(  ),,20220317094736,yago,20170908095401,Implantação,(  )
141,,113,539,MATERNIDADE DE ALTO RISCO DE IMPERATRIZ - MARI,00126-01,2452383,CORIOLANDO MILHOMEM,42,,CENTRO,65900330,(99)35254518,(99)981190926,HRMI.DIRECAOADM@GMAIL.COM,20231027074901,thalyta,20170908095401,Implantação,(99)991238874
299,,113,635,HOSP. INF. DR. JUVENCIO MATTOS,00103-01,2702866,NORTE,243,,CENTRO,65010000,(98)999763177,(  ),HOSPITALINFANTILJM@GMAIL.COM,20220824083252,yago,20170908095401,Implantação,(98)32316880
761,,113,635,U.B.S. MARACANÃ,00112-01,,AV. PRINCIPAL,00,RESP. DIRETORA,MARACANÃ,65090872,(98)32417604,(  ),,20220824083435,yago,20190521091146,hiago,(98)988972366
849,,113,541,U.B.S. ENEDINA NASCIMENTO VIANA,01266-01,,07,00,RES. FRANCINEIDE CUN,ROSEANA SARNEY,65485000,(98)991948788,(  ),FRAN.MCC@HOTMAIL.COM,20221011090801,yago,20201118114147,carliane,(  )
850,,113,541,U.B.S. VILARINDO VILAR NUNES,01267-01,,HUMBERTO DE CAMPOS,00,RESP. RAYSSA OLIVEIR,CENTRO,65485000,(98)991532455,(  ),CIRLANDIOCOUTINHO@GMAIL.COM,20221011090822,yago,20201118114333,carliane,(  )
853,,113,585,HOSP. JOSE FERREIRA DOS REIS,01270-01,,MA 315,00,,CENTRO,65585000,(98)988595080,(98)985735389,GABILIOREIS@GMAIL.COM,20221125090946,yago,20210204075215,yago,(98)984372822
870,,5,585,U.B.S. SANTA RITA ,01287-01,,POV. SANTA RITA ,00,,Z. RURAL,65585000,(  ),(  ),BETEMARQUES2011@HOTMAIL.COM,20230323090724,thalyta,20210225115321,yago,(98)984348591
865,,113,505,U.B.S. BARRO BRANCO ,01282-01,,POV. BARRO BRANCO,00,,Z. RURAL,65299000,(98)984261645,(  ),ADRIELESALES987@GMAIL.COM,20230810091421,yago,20210212120000,carliane,(  )
868,,5,585,U.B.S. RIACHO DO MEIO,01285-01,,POV. RIACHO DO MEIO ,00,,Z. RURAL,65585000,(  ),(  ),EUDALOPEES@GMAIL.COM,20230323090647,thalyta,20210225114740,yago,(51)992800271
851,,5,579,U.B.S. IGUAIBA,01268-01,,PRACA N.S. DA CONCEICAO ,00,,IGUAIBA,65130000,(98)984322265,(  ),UBSIGUAUBA.PL@GMAIL.COM,20250320145714,thalyta,20201210105439,yago,(  )
879,,54,509,U.B.S. MONTE ALEGRE,01296-01,,POV. MONTE ALEGRE,00,,Z. RURAL,65620000,(  ),(  ),,20210412082555,yago,20210412082555,yago,(  )
881,,113,635,RETAGUARDA MATERNA ELIZABETH COELHO VAZ,01297-01,,do Norte,233,,Centro,65015330,(98)987289184,(98)985643490,GARRETO47@GMAIL.COM,20210428103604,yago,20210428103604,yago,(98)981491132
444,,0,605,U.B.S. FILOMENA ARCÂNGELA DA SILVA,00848-01,,AV. PRINCIPAL,S/N,,INHAUMA,65138000,(98)988057102,(  ),,20210429072959,yago,20190215091553,hiago,(  )
882,,5,605,U.B.S. OZINO CLEMENTE COSTA,01298-01,,EST. DA RAPOSA,00,,VL BOA ESPERANCA,65138000,(89)988073031,(  ),,20210429073306,yago,20210429073306,yago,(  )
885,,5,605,U.B.S. MARIA PEREIRA DA CRUZ,01300-01,,R. PROJETADA,00,SOL NASCENTE,ARAÇAGY,65138000,(98)988718822,(  ),,20210429074616,yago,20210429074616,yago,(  )
887,,36,605,U.B.S. TEREZINHA RIBEIRO FARIAS ,01299-01,,AV. SAO SEBASTIAO,00,,VL BOM VIVER,65138000,(  ),(  ),,20210429075112,yago,20210429075112,yago,(  )
888,,36,605,U.B.S. CARLOS VIDAL DE SOUSA ,01301-01,,AV. PRINCIPAL,00,,CUMBIQUE,65138000,(98)988531612,(  ),,20210429075239,yago,20210429075239,yago,(  )
889,,113,579,U.B.S. SAFIRA,01302-01,,R. 20,00,QD 21,RESD. SAFIRA,65130000,(98)981610379,(  ),LIANA_PPA@HOTMAIL.COM,20210504073221,yago,20210504073221,yago,(  )
890,,54,566,U.B.S.F. INES FERNANDES DE LIMA,01303-01,,POV. AGENCIA DA MATA ,00,,Z. RURAL,65545000,(  ),(  ),,20210506072731,yago,20210506072731,yago,(  )
891,,6,512,U.B.S. COROATA I,01304-01,,TRAV. JANSEN MATOS ,599,,CENTRO,65651450,(  ),(  ),,20210506073103,yago,20210506073103,yago,(  )
892,,113,512,U.B.S. ACIONALDA ALVES PEREIRA ,01305-01,,R.01 ,00,,MACAUBA,65415000,(  ),(  ),,20210506073246,yago,20210506073246,yago,(  )
893,,113,637,U.B.S. SARAGUA,01306-01,,R. PRIMAVERA ,00,,CENTRO ,65470000,(  ),(  ),,20210506073631,yago,20210506073631,yago,(  )
894,,54,637,U.B.S. JUCAREIRA,01307-01,,POV. JUCAREIRA,00,,Z. RURAL,65470000,(  ),(  ),,20210506073829,yago,20210506073829,yago,(  )
895,,5,495,U.B.S. GILSON DE OLIVEIRA,01308-01,,R. TANCREDO NEVES,00,,CABECEIRA,65968000,(  ),(  ),,20210506074053,yago,20210506074053,yago,(  )
896,,5,495,U.B.S. JUSTINO TEIXEIRA DE MIRANDA,01309-01,,R. MARANHAO,00,,CENTRO,65968000,(  ),(  ),,20210506074237,yago,20210506074237,yago,(  )
897,,5,518,U.B.S. MARIA DO CARMO,01310-01,,R.SAO JOAO,00,,VL EURICO ,65975000,(  ),(  ),,20210506074517,yago,20210506074517,yago,(  )
898,,5,630,U.B.S. CENTRO MUNICIPAL DE SAUDE,01311-01,,R. MARANHAO,100,,CENTRO,65973000,(  ),(  ),,20210506075911,yago,20210506075911,yago,(  )
910,,5,548,U.B.S. JOSE NUNES BARBOSA,01323-01,,R.01 ,00,,VL MANGUEIRA,65715000,(  ),(  ),,20210506082123,yago,20210506082123,yago,(  )
911,,5,534,U.B.S. BOM SAMARITANO,01324-01,,R. SANTA RITA,00,,CENTRO,65255000,(  ),(  ),,20210506082433,yago,20210506082433,yago,(  )
912,,6,611,U.B.S. JOSE BORGES,01325-01,,TRAV. 04,00,,N. MORADA,65208000,(  ),(  ),,20210506082953,yago,20210506082953,yago,(  )
913,,36,546,U.B.S. ANTONIO MARCULINO QUEIROZ,01326-01,,AV. ROSEANA SARNEY,00,,CENTRO,65755000,(  ),(  ),,20210506083912,yago,20210506083912,yago,(  )
914,,5,589,U.B.S. CENTRO,01327-01,,R. SATU BELLO,00,,CENTRO,65213000,(  ),(  ),,20210506084127,yago,20210506084127,yago,(  )
915,,113,500,HOSP. REG. DE CARUTAPERA,01328-01,,R. EPITACIO CAFETEIRA,00,,CENTRO,65295000,(  ),(  ),,20210506084433,yago,20210506084433,yago,(  )
874,,113,484,HOSP. MUN. DE BOM JESUS DAS SELVAS,01291-01,,R. ADALTO LOPES,00,,CENTRO,65395000,(98)988837943,(  ),ALINEEMANUELLEBJS2012@HOTMAIL.COM,20210510073334,yago,20210412080553,yago,(  )
920,,5,527,U.B.S. SETOR AGRICOLA,01333-01,,R. NOVA ,00,,SETOR AGRICOLA,65928000,(  ),(  ),DANNYGOIMESSILVA2000@GMAIL.COM,20210518105038,yago,20210518105038,yago,(  )
917,,5,631,U.B.S. RAIMUNDA ALGODAO,01330-01,,EUGENIA CAMPOS,00,,Z. RURAL,65615000,(  ),(  ),SEMUS.SJSOTER@YAHOO.COM.BR,20210518103737,yago,20210518103003,yago,(  )
919,,5,527,U.B.S. PEDRO CARDOSO ,01332-01,,R. GUSTAVO FIALHO,00,,SANTA RITA,65928000,(  ),(  ),ALANDA.SILVA1520@GMAIL.COM,20210518104518,yago,20210518104518,yago,(  )
922,,36,648,U.B.S. RAMIRO MARTINS SILVA,01335-01,,AV. LEONARDO DE ALMEIDA,00,,CENTRO,65925000,(  ),(  ),VNOLETOXAVIER@GMAIL.COM,20210518111240,yago,20210518111240,yago,(  )
923,,5,648,U.B.S. JOSE MEDRADO,01336-01,,R. DO AEROPORTO,00,,VL. NOVA ,65925000,(  ),(  ),MARIADEJJESUS@HOTMAIL.COM,20210518111427,yago,20210518111427,yago,(  )
921,,5,527,U.B.S. DARIA BANDEIRA,01334-01,,R. MARIANA ,15,,BANANAL,65928000,(  ),(  ),RC.FABULOUS37@GMAIL.COM,20210521105332,yago,20210518105309,yago,(  )
899,,113,565,U.B.S. PEDRAS,01312-01,,POV. PEDRAS,00,,Z. RURAL,65468000,(  ),(  ),,20210923105516,yago,20210506080643,yago,(  )
900,,113,565,U.B.S. NOVO TEMPO,01313-01,,POV. NOVO TEMPO,00,,Z. RURAL,65468000,(  ),(  ),,20210923105613,yago,20210506080750,yago,(  )
901,,113,565,U.B.S. BOCA DO CERCADO,01314-01,,POV. BOCA DO CERCADO,00,,Z. RURAL,65468000,(  ),(  ),,20210923105739,yago,20210506080844,yago,(  )
902,,54,565,U.B.S. PALMEIRAL II,01315-01,,POV. PALMEIRAL II,00,,Z. RURAL,65468000,(  ),(  ),,20210923105901,yago,20210506080932,yago,(  )
903,,54,565,U.B.S. COIVARAS,01316-01,,POV. COIVARAS,00,,Z. RURAL,65468000,(  ),(  ),,20210923110009,yago,20210506081040,yago,(  )
904,,36,458,U.B.S. SANTA CRUZ,01317-01,,AV. SEN. VITORINO FREIRE,00,,SANTA CRUZ,65810000,(99)988368916,(  ),SECSAUDEAP@GMAIL.COM,20210929075553,yago,20210506081139,yago,(99)999700105
905,,113,498,U.B.S. ANASTACIA DUARTE LIMA,01318-01,,R. LAGO DO CEU,00,,TERREIRAO,65735000,(98)991418383,(  ),GRACILENEMARTINS1987@GMAIL.COM,20211004120635,yago,20210506081359,yago,(99)984996209
906,,54,498,U.B.S. JUAREZ MOTA OLIVEIRA,01319-01,,POV. PATROCINIO,00,,Z. RURAL,65735000,(99)992242451,(  ),BAIMAELAINE@GMAIL.COM,20211004120912,yago,20210506081445,yago,(99)991089879
907,,54,498,U.B.S. SANTA ROSA,01320-01,,POV. SANTA ROSA,00,BR 135,Z. RURAL,65735000,(98)982704898,(  ),,20211004121136,yago,20210506081544,yago,(99)991383947
909,,113,498,U.B.S. NENE MORAES,01322-01,,R. GERINO,54,,CENTRO,65735000,(99)991573621,(  ),,20211004121456,yago,20210506081736,yago,(99)998854691
918,,5,460,U.B.S. ADELSON RIBEIRO DE CARVALHO,01331-01,,R. HUMBERTO DE CAMPOS,00,,CENTRO,65923000,(  ),(  ),JOELMACARREIRO2014@GMAIL.COM,20220525072234,yago,20210518103441,yago,(  )
916,,36,579,U.B.S. TAMBAU,01329-01,,AV. 02,00,,CONJ. TAMBAU,65130000,(98)987290038,(  ),CAMILLEFERNANDES14@HOTMAIL.COM,20130109192718,thalyta,20210512070716,yago,(98)985569303
924,,54,648,U.B.S. MARGARIDA TEIXEIRA,01337-01,,POV. BOA LEMBRANCA,00,,Z. RURAL,65925000,(  ),(  ),MARYNNARC@HOTMAIL.COM,20210518111632,yago,20210518111548,yago,(  )
925,,54,648,U.B.S. RAIMUNDO FRANCISCO DE SOUSA,01338-01,,POV. PACIENCIA,00,,Z. RURAL,65925000,(  ),(  ),IGOALVESDASILVA@HOTMAIL.COM,20210518111748,yago,20210518111748,yago,(  )
926,,54,648,U.B.S. OZIEL PEREIRA,01339-01,,ASSENT. OZIEL PEREIRA,00,,Z. RURAL,65925000,(  ),(  ),LAYANENLM19@GMAIL.COM,20210518111930,yago,20210518111930,yago,(  )
927,,54,648,U.B.S. NOVA VENEZA,01340-01,,POV. NOVA VENEZA,00,,Z. RURAL,65925000,(  ),(  ),MARIAIVANIADR@HOTMAIL.COM,20210518112229,yago,20210518112229,yago,(  )
928,,54,648,U.B.S. SANTA MARIA E PATIS,01341-01,,POV. SANTA MARIA ,00,,Z. RURAL,65925000,(  ),(  ),GISLANDIAS2@HOTMAIL.COM,20210518112413,yago,20210518112413,yago,(  )
929,,54,648,U.B.S. SALTO,01342-01,,POV. SALTO,00,,Z. RURAL,65925000,(  ),(  ),DEQUESANTOS239@GMAIL.COM,20210518112608,yago,20210518112608,yago,(  )
930,,54,648,U.B.S. DOIS BURITIS,01343-01,,POV. DOIS BURITIS,00,,Z. RURAL,65925000,(  ),(  ),ELIANDROMARCELINO79@GMAIL.COM,20210518112741,yago,20210518112741,yago,(  )
931,,36,523,U.B.S. JOSUE MARQUES,01344-01,,AV. 18 DE JANEIRO,00,,FORTUNA,65695000,(  ),(  ),FRAAANGELICA12@GMAIL.COM,20210518113215,yago,20210518113215,yago,(  )
932,,54,523,U.B.S. MORADA NOVA,01345-01,,POV. MORADA NOVA ,00,,Z. RURAL,65695000,(  ),(  ),VALDENIMENDES822@GMAIL.COM,20210518113347,yago,20210518113347,yago,(  )
933,,54,523,U.B.S. SAO JOAO DO ANAJA,01346-01,,POV. SAO JOAO DO ANAJA,00,,Z. RURAL,65695000,(  ),(  ),KEYTE.MENDES16@GMAIL.COM,20210518113628,yago,20210518113628,yago,(  )
934,,113,599,U.B.S. MAE TONHA,01347-01,,R. PRESD. CASTELO BRANCO,00,,CENTRO,65760000,(  ),(  ),TELDECOELHO123@GMAIL.COM,20210518114139,yago,20210518114139,yago,(  )
